model,family,seed,cell,n_samples,rmse,mae,mape,r2,max_error
LSTM,Recurrent,42,B0018,132,0.05867589854213271,0.05404546224709713,6.4469620081619645,0.5023826327732095,0.09036147594451904
LSTM,Recurrent,42,B0032,39,0.026935714749322597,0.022932070952195387,2.240885277433736,0.4973036577878118,0.05415600538253784
LSTM,Recurrent,42,B0053_test,16,0.03910086656014799,0.0332249216735363,3.5200506864547703,-1.2282905847683012,0.07067614793777466
GRU,Recurrent,42,B0018,132,0.0832221624711547,0.0744364270658204,8.847339105572003,-0.0010459758824794552,0.16308963298797607
GRU,Recurrent,42,B0032,39,0.048668744688153506,0.04013879482562725,3.9971145714639924,-0.6411527546342237,0.09797555208206177
GRU,Recurrent,42,B0053_test,16,0.06085840289686722,0.05493113771080971,5.8048608949501075,-4.398090514125289,0.09647566080093384
CNN1D,Convolutional,42,B0018,132,0.025516017363806563,0.021447775490356213,2.483231709423673,0.9058973596136395,0.08690166473388672
CNN1D,Convolutional,42,B0032,39,0.038477878667730545,0.030510277320177127,2.904918509940816,-0.02581951901844537,0.08651101589202881
CNN1D,Convolutional,42,B0053_test,16,0.08864844565462725,0.0851602591574192,8.953984951739676,-10.453581507497361,0.1244705319404602
TCN,Convolutional,42,B0018,132,0.08092661866747528,0.0733845540971467,9.052457384290225,0.05341673793315849,0.1491052508354187
TCN,Convolutional,42,B0032,39,0.04693696380318894,0.03485651810963949,3.3090770349511107,-0.5264363617592769,0.10755646228790283
TCN,Convolutional,42,B0053_test,16,0.03261239520340791,0.027489278465509415,2.9060717187435263,-0.5501169085005368,0.06045877933502197
DLinear,Linear,42,B0018,132,0.05027470559634962,0.046019166707992554,5.449647466551917,0.6346786083035421,0.10612237453460693
DLinear,Linear,42,B0032,39,0.10849983627363508,0.10108993297968155,9.725321012986052,-7.156557130380108,0.18528985977172852
DLinear,Linear,42,B0053_test,16,0.02836748589355997,0.0234198160469532,2.4791704331224613,-0.1728453641376646,0.05504035949707031
Transformer,Attention,42,B0018,132,0.043425413403597395,0.03585409169847315,4.324546666771515,0.7274388491151331,0.11228054761886597
Transformer,Attention,42,B0032,39,0.027977749952349817,0.022982438405354817,2.212635972616759,0.45765669222223726,0.06571793556213379
Transformer,Attention,42,B0053_test,16,0.032403123647678445,0.027137625962495804,2.869167265624055,-0.5302867449517328,0.060270488262176514
PatchTST,Attention,42,B0018,132,0.06786725019719488,0.058773269255956016,6.871354581890676,0.3342724384451571,0.14572817087173462
PatchTST,Attention,42,B0032,39,0.021507616299165956,0.018616248399783403,1.8272625527510862,0.6794961308819967,0.054265499114990234
PatchTST,Attention,42,B0053_test,16,0.026846394175254307,0.022414367645978928,2.364782839405039,-0.050439357496286696,0.04829287528991699
iTransformer,Attention,42,B0018,132,0.058385317101490246,0.0515848154371435,6.021106029633733,0.5072991428501739,0.11647051572799683
iTransformer,Attention,42,B0032,39,0.028482857478443566,0.02520366051258185,2.489042870423016,0.43789709432811585,0.06359326839447021
iTransformer,Attention,42,B0053_test,16,0.015427440685134856,0.012736551463603973,1.3388072534004234,0.653113953180452,0.0337565541267395
QLSTM,Quantum-Recurrent,42,B0018,132,0.06087220955637423,0.05520587978941022,6.77845847615392,0.4644325630296777,0.10664224624633789
QLSTM,Quantum-Recurrent,42,B0032,39,0.027561934705190517,0.02171668639549842,2.150956845082648,0.4736578915913461,0.06152468919754028
QLSTM,Quantum-Recurrent,42,B0053_test,16,0.04495888107161778,0.03888436779379845,4.11944207402766,-1.9459817257296197,0.07847946882247925
QNN-GRU,Quantum-Recurrent,42,B0018,132,0.027520696044488088,0.02150801366025751,2.4812860771404797,0.8905300653760834,0.06947106122970581
QNN-GRU,Quantum-Recurrent,42,B0032,39,0.033033161403424584,0.027431414677546576,2.6603577992226226,0.24395264999823885,0.07246005535125732
QNN-GRU,Quantum-Recurrent,42,B0053_test,16,0.0305564734320659,0.02546340972185135,2.6890121922008845,-0.36083515758443596,0.05913805961608887
