model,family,cell,eval_type,n_samples,rmse,mae,mape,r2,max_error,seed
TE-Q-Transformer,Proposed-Quantum-Foundation,B0018,unseen_cell,132,0.027579557860378384,0.021504120393232865,2.6549153783576354,0.8900612916229507,0.0963323712348938,42
TE-Q-Transformer,Proposed-Quantum-Foundation,B0032,unseen_cell,39,0.020362031582429344,0.018861660590538613,1.8488198257551018,0.7127295662038962,0.04122269153594971,42
TE-Q-Transformer,Proposed-Quantum-Foundation,B0053_test,temporal_extrapolation,16,0.02366107271094433,0.020927950739860535,2.2008957461418253,0.1840417821939364,0.041400253772735596,42
LSTM,Recurrent,B0018,unseen_cell,132,0.05975368776855894,0.05524658840714079,6.611305022234819,0.4839337495641427,0.09300845861434937,42
LSTM,Recurrent,B0032,unseen_cell,39,0.027921182194840573,0.023734707098740798,2.3212170295389045,0.4598475853384818,0.055510103702545166,42
LSTM,Recurrent,B0053_test,temporal_extrapolation,16,0.03827920848595915,0.03238964453339577,3.431517068186645,-1.135624815736091,0.06942516565322876,42
GRU,Recurrent,B0018,unseen_cell,132,0.08279282015150856,0.07450164764216452,8.971362103430208,0.009256153834351077,0.14980250597000122,42
GRU,Recurrent,B0032,unseen_cell,39,0.042277243484156374,0.03523885592436179,3.491027598466397,-0.23840313589862472,0.08639520406723022,42
GRU,Recurrent,B0053_test,temporal_extrapolation,16,0.04632120830501414,0.04008481651544571,4.24682867775749,-2.1272227698577097,0.07963263988494873,42
CNN1D,Convolutional,B0018,unseen_cell,132,0.013992372929671522,0.011597863200939062,1.3560995686728847,0.9717018024264041,0.049174726009368896,42
CNN1D,Convolutional,B0032,unseen_cell,39,0.032553493475187927,0.027469103152935322,2.656614757634053,0.26575005930348927,0.07058048248291016,42
CNN1D,Convolutional,B0053_test,temporal_extrapolation,16,0.04926663783919681,0.042867470532655716,4.540828961153082,-2.5375689297246686,0.08232623338699341,42
TCN,Convolutional,B0018,unseen_cell,132,0.04584669656960698,0.03793085434220054,4.544890130293842,0.6961969508799342,0.10554027557373047,42
TCN,Convolutional,B0032,unseen_cell,39,0.04356283934674867,0.03406097950079502,3.232539385754559,-0.3148647234412487,0.09898877143859863,42
TCN,Convolutional,B0053_test,temporal_extrapolation,16,0.028218468696515776,0.022323574870824814,2.298046616336703,-0.16055558445615903,0.0598447322845459,42
DLinear,Linear,B0018,unseen_cell,132,0.052573573457388965,0.04455259984189814,5.152600385682502,0.6005052965077313,0.12198173999786377,42
DLinear,Linear,B0032,unseen_cell,39,0.13812492727349884,0.13248773263050959,12.78853887613392,-12.218824645548214,0.21636658906936646,42
DLinear,Linear,B0053_test,temporal_extrapolation,16,0.04073099639819577,0.035227395594120026,3.7314278387024933,-1.4179600943992052,0.07217365503311157,42
Transformer,Attention,B0018,unseen_cell,132,0.060433442919909916,0.05386253288297942,6.466523801461441,0.47212547328574517,0.12674224376678467,42
Transformer,Attention,B0032,unseen_cell,39,0.03349800449297062,0.028282831876705855,2.7449610432518914,0.2225247194582355,0.07042098045349121,42
Transformer,Attention,B0053_test,temporal_extrapolation,16,0.035821789384105795,0.03029339388012886,3.2074476270949295,-0.8702239430382066,0.06703454256057739,42
PatchTST,Attention,B0018,unseen_cell,132,0.1248575381411621,0.10606628927317532,13.276927348768714,-1.2532302150337427,0.22811681032180786,42
PatchTST,Attention,B0032,unseen_cell,39,0.022160517235114398,0.017144551643958457,1.6669727620762822,0.659741876700264,0.06165802478790283,42
PatchTST,Attention,B0053_test,temporal_extrapolation,16,0.044889720608279414,0.040969714522361755,4.317048548704629,-1.9369250612854438,0.07048535346984863,42
iTransformer,Attention,B0018,unseen_cell,132,0.06906588009761311,0.06238303717338678,7.534954061524725,0.3105494348489418,0.15760809183120728,42
iTransformer,Attention,B0032,unseen_cell,39,0.0236425324035285,0.018496094605861567,1.8145450871787383,0.6127096261890246,0.07209396362304688,42
iTransformer,Attention,B0053_test,temporal_extrapolation,16,0.02409527460805313,0.02141473814845085,2.2186323455298944,0.1538198741994703,0.041303157806396484,42
QLSTM,Quantum-Recurrent,B0018,unseen_cell,132,0.061909231828189595,0.05562119547164801,6.862183306493747,0.44602921486614466,0.11004889011383057,42
QLSTM,Quantum-Recurrent,B0032,unseen_cell,39,0.028042851214444074,0.022117199041904546,2.197207671658706,0.4551298048218958,0.0633123517036438,42
QLSTM,Quantum-Recurrent,B0053_test,temporal_extrapolation,16,0.04910443098700943,0.042620908468961716,4.515272551787071,-2.5143128960860266,0.08342713117599487,42
QNN-GRU,Quantum-Recurrent,B0018,unseen_cell,132,0.0403573132671985,0.034403483072916664,4.101828890698936,0.7645923764216183,0.0844220519065857,42
QNN-GRU,Quantum-Recurrent,B0032,unseen_cell,39,0.033537155366073754,0.024836945228087597,2.3787015626549577,0.2207063052427244,0.08154010772705078,42
QNN-GRU,Quantum-Recurrent,B0053_test,temporal_extrapolation,16,0.028635445262667748,0.024086110293865204,2.5364599099155014,-0.19510741625819517,0.05579262971878052,42
