model,family,seed,overall_rmse,overall_mae,overall_mape,overall_r2,overall_max_error,trainable_params,total_params,training_time_seconds,inference_time_seconds,best_epoch,device
TE-Q-Transformer,Proposed-Quantum-Foundation,42,0.023867554051250683,0.020431243907877338,2.2348769834181876,0.5956108800069277,0.0963323712348938,92554,92554,564.7086272239685,0.7655246257781982,76,cuda
LSTM,Recurrent,42,0.04198469281645289,0.03712364667975912,4.121346373320123,-0.06394782694448886,0.09300845861434937,71105,71105,23.63418936729431,0.038130998611450195,79,cuda
GRU,Recurrent,42,0.05713042398022635,0.04994177336065734,5.5697394598846985,-0.7854565839739944,0.14980250597000122,54465,54465,9.046139001846313,0.033512115478515625,12,cuda
CNN1D,Convolutional,42,0.031937501414685425,0.0273114789621767,2.8511810958200066,-0.43337235599825846,0.08232623338699341,47041,47041,24.11161160469055,0.03312563896179199,79,cuda
TCN,Convolutional,42,0.03920933487095714,0.03143846957127346,3.358492044128368,0.0735922143275088,0.10554027557373047,91841,91841,33.46152925491333,0.04354667663574219,75,cuda
DLinear,Linear,42,0.07714316570969453,0.07075590935550925,7.224189033506305,-4.345426481146563,0.21636658906936646,1031,1031,15.489095687866211,0.025227069854736328,72,cuda
Transformer,Attention,42,0.043251078932328775,0.03747958621327138,4.13964415726942,-0.05852458343140865,0.12674224376678467,80257,80257,59.49976181983948,0.05762934684753418,80,cuda
PatchTST,Attention,42,0.06396925866151863,0.054726851813165174,6.420316219849876,-0.8434711332063075,0.22811681032180786,109962,109962,58.915194511413574,0.052065134048461914,78,cuda
iTransformer,Attention,42,0.03893456236973158,0.0340979566425664,3.856043831411119,0.3590263117458122,0.15760809183120728,137473,137473,55.86880397796631,0.04550933837890625,74,cuda
QLSTM,Quantum-Recurrent,42,0.046352171343214364,0.040119767660838086,4.5248878433131745,-0.5377179587993287,0.11004889011383057,37853,37853,287.0942771434784,0.3765568733215332,64,cuda
QNN-GRU,Quantum-Recurrent,42,0.03417663796531333,0.027775512864956487,3.0056634544231318,0.26339708846871585,0.0844220519065857,29533,29533,281.48964166641235,0.3762855529785156,78,cuda
